,screen_name,created_at,text,retweet_count,favorite_count,in_reply_to_screen_name,retweeted_status_screen_name,user_description,source,lang,id
2329,fox5ny,2020-03-29T14:24:12Z,RT @CorneliaLG: My babies are too young to read this now. And they’d barely recognize me in my gear. But if they lose me to COVID I want them to know Mommy tried really hard to do her job. #GetMePPE #NYC https://t.co/OMew5G7mjK,121468,0,,CorneliaLG,Comments & photos shared here or using #Fox5NY could be used on any FOX platforms.,Twitter Web App,en,1244269129588146177
1664,fox5ny,2020-04-13T18:36:48Z,"RT @GovMurphy: BREAKING: NJ, NY, CT, PA, DE, and RI have formed a regional advisory council to help guide our re-opening once the #COVID19 emergency has passed.

We cannot act on our own. We must be smart &amp; tactical in how our region comes out of this, or else we’ll be right back to square one. https://t.co/fZeOk3GBca",4853,0,,GovMurphy,Comments & photos shared here or using #Fox5NY could be used on any FOX platforms.,Twitter Web App,en,1249768516041027585
2004,fox5ny,2020-04-06T14:40:06Z,RT @NYGovCuomo: I will be giving my daily #Coronavirus briefing at 12:00PM. Stay tuned.,977,0,,NYGovCuomo,Comments & photos shared here or using #Fox5NY could be used on any FOX platforms.,Twitter Web App,en,1247172233950302208
2356,fox5ny,2020-03-28T13:00:10Z,"RT @pulte: And we are happy to help! ""A number of Twitter users claimed to have received donations from Pulte and Star"" @JeffreeStar https://t.co/eeAlGNwDDs",962,0,,pulte,Comments & photos shared here or using #Fox5NY could be used on any FOX platforms.,Twitter Web App,en,1243885592833818624
2583,fox5ny,2020-03-23T18:55:22Z,"RT @NJSP: New Jersey State Police is Seeking Donations of Personal Protective Equipment(PPE)

NJ is in critical need of PPE for the men and women working to mitigate the spread of the COVID-19 virus. 

Anyone willing to donate equipment is asked to please email ppedonations@njsp.org. https://t.co/CNREvGrYHF",452,0,,NJSP,Comments & photos shared here or using #Fox5NY could be used on any FOX platforms.,Twitter Web App,en,1242163044232433664
1703,fox5ny,2020-04-12T16:12:16Z,"RT @NYPDShea: With profound sadness, I announce the passing of Traffic Enforcement Agent William Hayes as a result of #COVID-19. William was a U.S. Army veteran &amp; member of our NYPD family for nearly 31 years.

Our prayers are with his loved ones &amp; colleagues today and every day.
#NeverForget https://t.co/9RCCoAKYXt",435,0,,NYPDShea,Comments & photos shared here or using #Fox5NY could be used on any FOX platforms.,Twitter Web App,en,1249369753308839937
2830,fox5ny,2020-03-18T20:51:04Z,"RT @NYSE: We will be moving temporarily to fully electronic trading, to begin with Monday’s market open

https://t.co/2kJOTEZ414",410,0,,NYSE,Comments & photos shared here or using #Fox5NY could be used on any FOX platforms.,Twitter Web App,en,1240380221385248771
997,fox5ny,2020-04-28T15:58:09Z,"RT @AFThunderbirds: We're less than 10 minutes out from the #AmericaStrong flyover of New York City!

🔴LIVE FEED: https://t.co/lKN9JLaPcr",249,0,,AFThunderbirds,Comments & photos shared here or using #Fox5NY could be used on any FOX platforms.,Twitter Web App,en,1255164409988743168
2001,fox5ny,2020-04-06T16:20:32Z,"RT @NYPD19Pct: Hi internet! We heard you’d like Some Good News, so here’s our submission:

Welcome back Officer Prieto, one of our first officers fully recovered from COVID-19, back full duty &amp; fit as a fiddle! Not to worry—the mask is only for extra protection. We’re so happy to have him back! https://t.co/YNujIGbO5a",224,0,,NYPD19Pct,Comments & photos shared here or using #Fox5NY could be used on any FOX platforms.,Twitter Web App,en,1247197509375733763
2545,fox5ny,2020-03-24T20:40:19Z,#BREAKING New York City begins releasing hundreds of prisoners  https://t.co/tuRJhtJLk1,199,155,,,Comments & photos shared here or using #Fox5NY could be used on any FOX platforms.,Twitter Web App,en,1242551841197522944
1113,fox5ny,2020-04-24T23:10:05Z,High school student makes clear face masks to help deaf and hard of hearing communicate https://t.co/MUN8qqNxlj,153,372,,,Comments & photos shared here or using #Fox5NY could be used on any FOX platforms.,SocialNewsDesk,en,1253823558167547907
2584,fox5ny,2020-03-23T18:34:52Z,"RT @nyspolice: We continue to receive inquiries on travel restrictions in New York State. At this time, there are NO travel restrictions or travel bans on New York State roadways. We do encourage everyone to stay home unless travel is absolutely necessary and practice social distancing. https://t.co/cF1syBxvdy",126,0,,nyspolice,Comments & photos shared here or using #Fox5NY could be used on any FOX platforms.,Twitter Web App,en,1242157883145453569
1997,fox5ny,2020-04-06T18:27:45Z,"RT @GovMurphy: We just learned, moments ago, of the passing of @JerseyCity Councilman Michael Yun.

He was a respected leader and a good man. A terrific husband, father, and grandfather.

We stand with Jersey City in mourning his loss, and we send our thoughts to his family. https://t.co/TyTB4yJOUu",111,0,,GovMurphy,Comments & photos shared here or using #Fox5NY could be used on any FOX platforms.,SocialNewsDesk,en,1247229524183584769
2582,fox5ny,2020-03-23T18:55:32Z,"RT @NYPDnews: To our dedicated cleaning staff, 

Thank you for your unwavering dedication during these trying times. By thoroughly disinfecting our police facilities, you are allowing us to continue to keep New Yorkers safe—no matter the circumstance. 

We appreciate you today, and every day. https://t.co/EulKEnC9KA",105,0,,NYPDnews,Comments & photos shared here or using #Fox5NY could be used on any FOX platforms.,Twitter Web App,en,1242163084329877504
2982,fox5ny,2020-03-16T17:36:38Z,"New York to allow takeout booze from bars during coronavirus emergency
https://t.co/6Xc5ocuEkT",82,114,,,Comments & photos shared here or using #Fox5NY could be used on any FOX platforms.,Twitter Web App,en,1239606514354130945
2141,fox5ny,2020-04-02T15:32:19Z,RT @toddstarnes: Capt. Patrick Amersbach says the USNS Comfort has seen 3 patients so far - per Fox 5 https://t.co/DkA5hkacKY,66,0,,toddstarnes,Comments & photos shared here or using #Fox5NY could be used on any FOX platforms.,Twitter Web App,en,1245735823963820032
1855,fox5ny,2020-04-09T16:28:11Z,RT @SeanMBurns: RIP to MAD Magazine’s Mort Drucker. Always loved his poster for AMERICAN GRAFFITI. https://t.co/2hTWj4jCAZ,63,0,,SeanMBurns,Comments & photos shared here or using #Fox5NY could be used on any FOX platforms.,Twitter Web App,en,1248286595452674049
2771,fox5ny,2020-03-19T18:02:20Z,"RT @NYPDnews: While many people are working or learning from home, our officers are still out on patrol, in your neighborhoods, keeping New Yorkers safe. 

Read more on how the NYPD is expanding duties to help prevent the spread of COVID-19 via @fox5ny ▶️  https://t.co/0lY1KiLsUW",62,0,,NYPDnews,Comments & photos shared here or using #Fox5NY could be used on any FOX platforms.,Twitter Web App,en,1240700144737112066
2863,fox5ny,2020-03-18T14:08:26Z,RT @NotifyNYC: Grab &amp; Go breakfast/lunch available for any student at the entrance of every DOE school building from 7:30am-1:30pm. More: https://t.co/cksOhFfsPx.,52,0,,NotifyNYC,Comments & photos shared here or using #Fox5NY could be used on any FOX platforms.,SocialNewsDesk,en,1240278895884197888
2145,fox5ny,2020-04-02T14:02:15Z,"RT @NYPDnews: When our officers are out patrolling our city streets, they are practicing social distancing.  This way they can keep protecting us all from crime and from spreading the COVID-19 virus. 

It's up to all New Yorkers to do their part as well. Stay home, stop the spread. https://t.co/98BH7cfYIJ",50,0,,NYPDnews,Comments & photos shared here or using #Fox5NY could be used on any FOX platforms.,Twitter Web App,en,1245713155042443264
2909,fox5ny,2020-03-17T18:40:39Z,"#BREAKING - New York City Mayor Bill de Blasio warns residents to prepare for a possible ""shelter in place"" order in the next 48 hours.  https://t.co/SLt8mxv5nY",49,36,,,Comments & photos shared here or using #Fox5NY could be used on any FOX platforms.,Twitter Web App,en,1239985011203305473
895,fox5ny,2020-04-30T10:34:04Z,USNS Comfort to leave Manhattan dock Thursday https://t.co/AChcwduYha,43,97,,,Comments & photos shared here or using #Fox5NY could be used on any FOX platforms.,SocialNewsDesk,en,1255807626388086784
2638,fox5ny,2020-03-21T23:40:04Z,Over 50 NYPD officers test positive for coronavirus https://t.co/ZibyJNJf5Q,40,47,,,Comments & photos shared here or using #Fox5NY could be used on any FOX platforms.,SocialNewsDesk,en,1241509916134838274
2230,fox5ny,2020-04-01T00:03:41Z,#Earthquake reported in Yellowstone National Park. (corrected),38,70,,,Comments & photos shared here or using #Fox5NY could be used on any FOX platforms.,Twitter Web App,en,1245139737431748608
693,fox5ny,2020-05-05T02:45:10Z,May 7 ‘Flower Moon’ will be last supermoon of 2020 https://t.co/vF1AQ5Arx4,36,106,,,Comments & photos shared here or using #Fox5NY could be used on any FOX platforms.,SocialNewsDesk,en,1257501563284840448
885,fox5ny,2020-04-30T14:55:59Z,RT @UFT: Mulgrew: We are working with city and education officials to create a plan for students once they return to school. The return to school date has not been set. https://t.co/SGtTHAFt6Z,35,0,,UFT,Comments & photos shared here or using #Fox5NY could be used on any FOX platforms.,Twitter Web App,en,1255873540127109133
2449,fox5ny,2020-03-26T19:27:15Z,"#BREAKING Texas governor orders anyone arriving on a plane from New York, New Jersey, and Connecticut to enter a mandatory 14-day self-quarantine.",35,98,,,Comments & photos shared here or using #Fox5NY could be used on any FOX platforms.,Twitter Web App,en,1243258230194798593
3135,fox5ny,2020-03-13T15:27:30Z,RT @NotifyNYC: The City will provide relief for small businesses that are making less because of COVID-19. Find out more: https://t.co/Y8r5O9W2R1.,34,0,,NotifyNYC,Comments & photos shared here or using #Fox5NY could be used on any FOX platforms.,SocialNewsDesk,en,1238486855122857985
1506,fox5ny,2020-04-16T15:20:09Z,"NYC beaches, pools could stay closed all summer https://t.co/QecFespDAH",33,50,,,Comments & photos shared here or using #Fox5NY could be used on any FOX platforms.,SocialNewsDesk,en,1250806192445820930
2604,fox5ny,2020-03-23T01:42:04Z,A man with coronavirus who works in LA says the drug used to treat malaria saved his life https://t.co/QFGYElEBhc,32,96,,,Comments & photos shared here or using #Fox5NY could be used on any FOX platforms.,SocialNewsDesk,en,1241903006536421379
1456,fox5ny,2020-04-17T12:35:05Z,Georgia restaurant owner sells car to have enough money to pay her employees https://t.co/tc1pXzeDg2,32,46,,,Comments & photos shared here or using #Fox5NY could be used on any FOX platforms.,SocialNewsDesk,en,1251127036887945216
725,fox5ny,2020-05-03T23:47:05Z,Violent arrest raises concerns about NYPD social distancing patrols https://t.co/JBqQogoJ6Y,31,39,,,Comments & photos shared here or using #Fox5NY could be used on any FOX platforms.,SocialNewsDesk,en,1257094357817217025
2598,fox5ny,2020-03-23T13:11:21Z,"NYC students can now pick up 3 free meals daily from 7:30 AM - 1:30 PM at 400 NYC sites. For details, visit https://t.co/sUTZQVhwCi #coronavirus https://t.co/N5XZvnY7T5",31,17,,,Comments & photos shared here or using #Fox5NY could be used on any FOX platforms.,SocialNewsDesk,en,1242076470736011264
1069,fox5ny,2020-04-26T15:11:01Z,"Governor Cuomo's advice to the protesters calling for an end to the shutdown was simple and to the point. Thoughts?
https://t.co/pbrzows6c9
#economy #jobs https://t.co/2vIV39JptB",30,116,,,Comments & photos shared here or using #Fox5NY could be used on any FOX platforms.,SocialNewsDesk,en,1254427772698550277
1946,fox5ny,2020-04-07T20:02:26Z,RT @whatisny: Never thought I’d see this in midtown on a Tuesday afternoon #whatisnewyork https://t.co/qzpKvRpDGl,30,0,,whatisny,Comments & photos shared here or using #Fox5NY could be used on any FOX platforms.,Twitter Web App,en,1247615738996764680
2040,fox5ny,2020-04-04T22:47:02Z,"RT @LisaEvers: #CoronavirusPandemic #COVID19Pandemic No masks for our @USArmy National Guard on duty at a drive-thru #coronavirus testing site in the Bronx, but they still do their duty. Thank you for your service.  #streetaoldiers #hot97 @HOT97 #fox5ny @fox5ny https://t.co/TLUoKqfw8k",29,0,,LisaEvers,Comments & photos shared here or using #Fox5NY could be used on any FOX platforms.,SocialNewsDesk,en,1246569998723829763
1567,fox5ny,2020-04-15T17:23:05Z,"Proposed bill would send Americans $2,000 a month until employment returns to pre-coronavirus levels https://t.co/Oyqcyb0cEz",29,45,,,Comments & photos shared here or using #Fox5NY could be used on any FOX platforms.,SocialNewsDesk,en,1250474741883981825
2991,fox5ny,2020-03-16T14:30:19Z,"#Breaking All non-essential businesses will close in New Jersey, New York and Connecticut on Monday at 8 pm . They will remain closed ""until further notice"" says Gov. Cuomo. https://t.co/5sDp3cIhcL",28,19,,,Comments & photos shared here or using #Fox5NY could be used on any FOX platforms.,SocialNewsDesk,en,1239559625231515653
2989,fox5ny,2020-03-16T14:37:09Z,"#Breaking Governors of NY, NJ and CT are ""strongly discouraging non-essential travel from 8 pm and 5 am"" until further notice #coronavirus https://t.co/wThQ4Cc5bF",28,14,,,Comments & photos shared here or using #Fox5NY could be used on any FOX platforms.,SocialNewsDesk,en,1239561347240800258
2859,fox5ny,2020-03-18T15:06:12Z,"California considering martial law:
https://t.co/zyH16LT8Er",28,23,,,Comments & photos shared here or using #Fox5NY could be used on any FOX platforms.,Twitter Web App,en,1240293433224441857
2918,fox5ny,2020-03-17T17:46:04Z,"Woman gave fake name, tested positive for coronavirus and then disappeared https://t.co/kXoqNQSZWr",27,25,,,Comments & photos shared here or using #Fox5NY could be used on any FOX platforms.,SocialNewsDesk,en,1239971274849320965
2643,fox5ny,2020-03-21T21:51:06Z,Pop superstar Rihanna donates $5 million to coronavirus relief efforts https://t.co/WBjS6uC2bK,26,64,,,Comments & photos shared here or using #Fox5NY could be used on any FOX platforms.,SocialNewsDesk,en,1241482492240166913
2253,fox5ny,2020-03-31T16:49:04Z,"Coronavirus could be airborne, study suggests https://t.co/yYwGt7fz1w",26,23,,,Comments & photos shared here or using #Fox5NY could be used on any FOX platforms.,SocialNewsDesk,en,1245030361551319041
241,fox5ny,2020-05-14T10:38:04Z,Police unions call for ouster of NYC health commissioner https://t.co/CyEZJdVRsQ,26,84,,,Comments & photos shared here or using #Fox5NY could be used on any FOX platforms.,SocialNewsDesk,en,1260882062103449600
1478,fox5ny,2020-04-16T23:05:02Z,"Comedian Ricky Gervais tells rich celebrities to stop complaining about coronavirus quarantine.
https://t.co/pbrzowavkB https://t.co/SFWCyPWlsX",26,121,,,Comments & photos shared here or using #Fox5NY could be used on any FOX platforms.,SocialNewsDesk,en,1250923181566840836
977,fox5ny,2020-04-28T22:19:48Z,"Sophie Lazicki is a frontline nurse entrenched in our battle against the coronavirus.  She hadn't seen her dog in a month and this was her reaction when she saw their reunion on ""Chasing News.""
Thank you for your dedication and service Sophie.
@sophslazicki @ChasingNews https://t.co/dLiy6U4Oni",25,81,,,Comments & photos shared here or using #Fox5NY could be used on any FOX platforms.,SocialNewsDesk,en,1255260452327735296
2536,fox5ny,2020-03-25T00:20:04Z,Starbucks will pay workers for 30 days whether they work or not amid coronavirus closures https://t.co/yzCNTO4S2t,25,53,,,Comments & photos shared here or using #Fox5NY could be used on any FOX platforms.,SocialNewsDesk,en,1242607146686189570
2409,fox5ny,2020-03-27T14:09:32Z,"RT @NateWants2Know: New Yorkers please help—if you’re on a crowded train or bus today, please take a picture and message me ASAP. #Cuomo and #DeBlasio keep preaching #SocialDistancing, yet #MTA service is reduced. Does this make sense? Demanding answers, more tonight on @ChasingNews @My9NJ @fox5ny https://t.co/AhM1taVo2q",25,0,,NateWants2Know,Comments & photos shared here or using #Fox5NY could be used on any FOX platforms.,Twitter Web App,en,1243540663569911812
2714,fox5ny,2020-03-20T13:45:08Z,Police find stolen tractor-trailer full of toilet paper https://t.co/Gqx5OZUNII,24,32,,,Comments & photos shared here or using #Fox5NY could be used on any FOX platforms.,SocialNewsDesk,en,1240997807940677633
2009,fox5ny,2020-04-06T13:11:28Z,RT @NotifyNYC: NYC is seeking businesses with ability to source &amp;/or make products to support City’s COVID-19 response work: https://t.co/LTRrGCZoUW,24,0,,NotifyNYC,Comments & photos shared here or using #Fox5NY could be used on any FOX platforms.,SocialNewsDesk,en,1247149928238940160
2773,fox5ny,2020-03-19T17:38:10Z,Review: Morrissey delivers his best music in years https://t.co/CA0h6Rf5Tv,23,92,,,Comments & photos shared here or using #Fox5NY could be used on any FOX platforms.,SocialNewsDesk,en,1240694064925642754
2703,fox5ny,2020-03-20T16:57:04Z,"Maryland boy uses $600 of savings to make coronavirus care packages for seniors, feed 90 students https://t.co/ZZLvag2fLk",23,121,,,Comments & photos shared here or using #Fox5NY could be used on any FOX platforms.,SocialNewsDesk,en,1241046108542992384
2490,fox5ny,2020-03-26T00:32:04Z,Experts ponder causes of New York's 'breathtaking' outbreak https://t.co/7IOu2A6sA7,23,64,,,Comments & photos shared here or using #Fox5NY could be used on any FOX platforms.,SocialNewsDesk,en,1242972550864519169
3006,fox5ny,2020-03-16T02:35:05Z,NYC orders restaurants and bars to close https://t.co/biSMN5eGaw,22,47,,,Comments & photos shared here or using #Fox5NY could be used on any FOX platforms.,SocialNewsDesk,en,1239379631381323776
2560,fox5ny,2020-03-24T13:15:08Z,Amazon temporarily closes Kentucky warehouse due to coronavirus https://t.co/gD2KbxAX47,22,17,,,Comments & photos shared here or using #Fox5NY could be used on any FOX platforms.,SocialNewsDesk,en,1242439810691850245
2610,fox5ny,2020-03-22T22:25:07Z,"Harvey Weinstein tests positive for COVID-19, isolated in prison, reports say https://t.co/DQDpgPW1E3",22,46,,,Comments & photos shared here or using #Fox5NY could be used on any FOX platforms.,SocialNewsDesk,en,1241853440072048641
765,fox5ny,2020-05-02T15:57:01Z,The pandemic and other quality of life considerations have caused many New Yorkers to leave the city. Would you leave NYC if you could? https://t.co/c2NLS0Utmz,22,151,,,Comments & photos shared here or using #Fox5NY could be used on any FOX platforms.,SocialNewsDesk,en,1256613676322295809
2174,fox5ny,2020-04-02T00:27:03Z,NYC public playgrounds close; Cuomo: 'I warned people' https://t.co/mhO4MJ820w,21,44,,,Comments & photos shared here or using #Fox5NY could be used on any FOX platforms.,SocialNewsDesk,en,1245508006982361094
2348,fox5ny,2020-03-28T16:54:04Z,Trump warns of possible quarantine order for New York https://t.co/ajar8onbQx,21,31,,,Comments & photos shared here or using #Fox5NY could be used on any FOX platforms.,SocialNewsDesk,en,1243944457277452289
2023,fox5ny,2020-04-05T16:56:03Z,"Cuomo: Coronavirus deaths, hospitalizations drop in NY for the first time https://t.co/MPmif1OpHy",21,43,,,Comments & photos shared here or using #Fox5NY could be used on any FOX platforms.,SocialNewsDesk,en,1246844058024185858
2118,fox5ny,2020-04-03T01:54:04Z,NYC officials now say you should cover your face in public https://t.co/uNhuFZfztC,21,41,,,Comments & photos shared here or using #Fox5NY could be used on any FOX platforms.,SocialNewsDesk,en,1245892291958575104
1077,fox5ny,2020-04-26T10:24:44Z,"Happy 50th Birthday to First Lady Melania Trump.
@WhiteHouse @FLOTUS https://t.co/QBqllCVR1e",21,199,,,Comments & photos shared here or using #Fox5NY could be used on any FOX platforms.,SocialNewsDesk,en,1254355726228733952
1030,fox5ny,2020-04-27T16:10:31Z,"RT @AmerAcadPeds: Children are spending more time with electronic devices during the #COVID19 pandemic, but parents should not stress themselves out over it, @fox5ny reports. Pediatrician Dr. @jennyradesky offers tips on quality media that families can view together.
https://t.co/TxEXYR6Anv",20,0,,AmerAcadPeds,Comments & photos shared here or using #Fox5NY could be used on any FOX platforms.,Twitter Web App,en,1254805133621411845
1652,fox5ny,2020-04-14T02:39:04Z,"COVID-19 has killed 50 NYC teachers, DOE workers https://t.co/ciENFbyxru",19,20,,,Comments & photos shared here or using #Fox5NY could be used on any FOX platforms.,SocialNewsDesk,en,1249889883549769729
2756,fox5ny,2020-03-19T21:25:07Z,MTA: 23 employees test positive for COVID-19 coronavirus https://t.co/RxGd46FoVY,19,5,,,Comments & photos shared here or using #Fox5NY could be used on any FOX platforms.,SocialNewsDesk,en,1240751177807081472
2992,fox5ny,2020-03-16T14:23:58Z,"#Breaking All movie theaters, gyms, casinos and race tracks will close in NJ, announces Gov. Murphy. #coronavirus https://t.co/wCOrcntfNy",19,19,,,Comments & photos shared here or using #Fox5NY could be used on any FOX platforms.,SocialNewsDesk,en,1239558027059003392
2058,fox5ny,2020-04-04T15:04:14Z,"#Breaking  NY Gov. Andrew Cuomo says total new cases is 10, 841. Total hospitalized is 15,905. The number of new deaths reported is 3,565. Total number of cases in NYS is 13,704. #Coronavirus https://t.co/uEOX214OcD",18,10,,,Comments & photos shared here or using #Fox5NY could be used on any FOX platforms.,SocialNewsDesk,en,1246453533240635393
3157,fox5ny,2020-03-13T11:17:32Z,"Mayor de Blasio on #GDNY:  ""there are a lot of ridiculous rumors""... ""call 311 ...or text COVID to 692-692 for information""
Watch LIVE: https://t.co/PuO1QxV19J #coronavirus",18,37,,,Comments & photos shared here or using #Fox5NY could be used on any FOX platforms.,SocialNewsDesk,en,1238423948498472960
710,fox5ny,2020-05-04T17:02:04Z,"Protests not allowed during pandemic, say NYC mayor and police commissioner https://t.co/eOeBe94zQm",18,47,,,Comments & photos shared here or using #Fox5NY could be used on any FOX platforms.,SocialNewsDesk,en,1257354822128369665
2182,fox5ny,2020-04-01T22:13:03Z,"China lied about coronavirus, putting world in jeopardy, US intelligence agents say https://t.co/DC7J3AJs0z",18,26,,,Comments & photos shared here or using #Fox5NY could be used on any FOX platforms.,SocialNewsDesk,en,1245474284455301121
2692,fox5ny,2020-03-20T19:49:04Z,35 NYPD officers test positive for coronavirus https://t.co/LGEGOjQEPa,18,10,,,Comments & photos shared here or using #Fox5NY could be used on any FOX platforms.,SocialNewsDesk,en,1241089393168920577
2645,fox5ny,2020-03-21T20:55:06Z,"FDA: Newly-approved coronavirus test works in 45 minutes, to be rolled out next week https://t.co/0udrWsUPJb",18,35,,,Comments & photos shared here or using #Fox5NY could be used on any FOX platforms.,SocialNewsDesk,en,1241468399001251841
2987,fox5ny,2020-03-16T15:08:54Z,"#Breaking Cuomo says NYS Liquor Authority allowing wineries, distilleries and bars to sell liquor through delivery during the shutdown. #coronavirus https://t.co/7Snn4FKxtA",18,31,,,Comments & photos shared here or using #Fox5NY could be used on any FOX platforms.,SocialNewsDesk,en,1239569337867857920
2838,fox5ny,2020-03-18T19:07:04Z,1st New Yorker with COVID-19 recovers https://t.co/Zc06zI1R3A,18,44,,,Comments & photos shared here or using #Fox5NY could be used on any FOX platforms.,SocialNewsDesk,en,1240354048412442626
1663,fox5ny,2020-04-13T18:38:00Z,"RT @nyspolice: Troop K - LANE CLOSURE: Right lane closed Interstate 84 W/B near mile marker 42 due to a roll over tractor trailer caused by high winds. Expect delays. T/Fishkill, Dutchess Co. https://t.co/H03CNUpxH9",18,0,,nyspolice,Comments & photos shared here or using #Fox5NY could be used on any FOX platforms.,Twitter Web App,en,1249768817833717760
3015,fox5ny,2020-03-16T00:04:04Z,First dose to be delivered Monday in clinical trial for potential COVID-19 vaccine https://t.co/pQp27Gr6tX,17,27,,,Comments & photos shared here or using #Fox5NY could be used on any FOX platforms.,SocialNewsDesk,en,1239341626796969984
2059,fox5ny,2020-04-04T13:01:05Z,"RT @NotifyNYC: Enjoy NYC’s parks from home! Visit https://t.co/82P4go2rxf for live video tours, meditation, fitness classes, activities for kids &amp; more.",17,0,,NotifyNYC,Comments & photos shared here or using #Fox5NY could be used on any FOX platforms.,SocialNewsDesk,en,1246422538869190657
2772,fox5ny,2020-03-19T17:52:02Z,SAD NEWS:  The first dog to test positive for #coronavirus had died.  https://t.co/azOo2AqBKl,17,15,,,Comments & photos shared here or using #Fox5NY could be used on any FOX platforms.,Twitter Web App,en,1240697554091692038
1260,fox5ny,2020-04-22T14:42:04Z,"NYC will celebrate July 4th with fireworks, mayor says https://t.co/XUcbNmJio6",17,47,,,Comments & photos shared here or using #Fox5NY could be used on any FOX platforms.,SocialNewsDesk,en,1252970935344410624
1230,fox5ny,2020-04-23T00:40:02Z,"On this day in 2004 former NFL football player Pat Tillman lost his life protecting our country. After the September 11th attacks he wanted to help make a difference in the war on terror and enlisted in the U.S. Army. Rest in peace.
#hero https://t.co/uUNWchdkdI",17,52,,,Comments & photos shared here or using #Fox5NY could be used on any FOX platforms.,SocialNewsDesk,en,1253121415789887490
2592,fox5ny,2020-03-23T15:28:14Z,"#BREAKING - 20,000 #CoronavirusNewYork cases with 12,000 in #NYC alone. https://t.co/jnEFDaUvBY",16,8,,,Comments & photos shared here or using #Fox5NY could be used on any FOX platforms.,Twitter Web App,en,1242110916713463812
1073,fox5ny,2020-04-26T13:19:17Z,"RT @NotifyNYC: Show your support for NYC’s grocery workers: Only shop when you need to, wear a face covering &amp; keep at least 6 feet from others.",16,0,,NotifyNYC,Comments & photos shared here or using #Fox5NY could be used on any FOX platforms.,SocialNewsDesk,en,1254399652201406467
2278,fox5ny,2020-03-31T01:39:04Z,2 more NYPD employees die amid coronavirus pandemic https://t.co/wNB1kOxolY,16,13,,,Comments & photos shared here or using #Fox5NY could be used on any FOX platforms.,SocialNewsDesk,ro,1244801352074739721
628,fox5ny,2020-05-06T02:15:10Z,High-rise tower catches fire in United Arab Emirates https://t.co/kcZmegIHcP,16,25,,,Comments & photos shared here or using #Fox5NY could be used on any FOX platforms.,SocialNewsDesk,en,1257856399771668480
3189,fox5ny,2020-03-12T20:12:30Z,BREAKING - State of Emergency declared in New York City #CoronavirusPandemic #LIVE coverage: https://t.co/PuO1QxV19J,16,7,,,Comments & photos shared here or using #Fox5NY could be used on any FOX platforms.,Twitter Web App,en,1238196189000019971
2881,fox5ny,2020-03-18T00:36:04Z,NYPD officer tests positive for coronavirus; other cops sent home https://t.co/GFresEqFoK,16,24,,,Comments & photos shared here or using #Fox5NY could be used on any FOX platforms.,SocialNewsDesk,en,1240074454987943936
2985,fox5ny,2020-03-16T16:31:17Z,#Breaking #Coronavirus vaccine testing begins in people as U.S. researchers give volunteer first experimental shot in Seattle. https://t.co/WMy0WJhaRd,16,22,,,Comments & photos shared here or using #Fox5NY could be used on any FOX platforms.,SocialNewsDesk,en,1239590070597885952
2852,fox5ny,2020-03-18T15:49:34Z,"#Breaking Treasury proposal: Deliver $500B in checks to millions of Americans, first round coming April 6. #coronavirus https://t.co/37Zd9h8vID",16,26,,,Comments & photos shared here or using #Fox5NY could be used on any FOX platforms.,SocialNewsDesk,en,1240304345641558019
2718,fox5ny,2020-03-20T12:49:14Z,"#Breaking Death toll in New York City from #coronavirus rises to 26, says Mayor Bill de Blasio. Confirmed cases is at 4,000. https://t.co/R1vpr9OEe1",16,19,,,Comments & photos shared here or using #Fox5NY could be used on any FOX platforms.,SocialNewsDesk,en,1240983739527815169
2336,fox5ny,2020-03-29T00:10:05Z,Border patrol seizes $37M worth of meth in shipment of tomatoes https://t.co/iOKcWVCWDQ,16,21,,,Comments & photos shared here or using #Fox5NY could be used on any FOX platforms.,SocialNewsDesk,en,1244054185483649029
1389,fox5ny,2020-04-18T17:25:05Z,New NY virus deaths under 550 for first time since April 1 https://t.co/rIvKO4q6dg,16,46,,,Comments & photos shared here or using #Fox5NY could be used on any FOX platforms.,SocialNewsDesk,en,1251562408063229955
2932,fox5ny,2020-03-17T15:01:04Z,Poison Center:  Don't drink bleach to prevent coronavirus https://t.co/wxhbxs65ce,16,24,,,Comments & photos shared here or using #Fox5NY could be used on any FOX platforms.,SocialNewsDesk,en,1239929754574295041
1796,fox5ny,2020-04-10T14:01:05Z,"Coronavirus lockdown results in 30 percent air pollution drop in northeastern US, NASA says https://t.co/0lG9j5wTSU",16,29,,,Comments & photos shared here or using #Fox5NY could be used on any FOX platforms.,SocialNewsDesk,en,1248611967935188992
2736,fox5ny,2020-03-20T03:02:04Z,Coronavirus pandemic empties the streets of the 'City That Never Sleeps' https://t.co/TicgiA92du,15,23,,,Comments & photos shared here or using #Fox5NY could be used on any FOX platforms.,SocialNewsDesk,en,1240835972956401671
1941,fox5ny,2020-04-07T21:11:04Z,Mayo Clinic wants recovered COVID-19 patients to donate plasma to help those still battling the disease https://t.co/3dTwmpICWr,15,11,,,Comments & photos shared here or using #Fox5NY could be used on any FOX platforms.,SocialNewsDesk,en,1247633009605513218
2354,fox5ny,2020-03-28T13:20:04Z,ER doctor fired after criticizing virus response at hospital https://t.co/3j6xbK8JLS,15,20,,,Comments & photos shared here or using #Fox5NY could be used on any FOX platforms.,SocialNewsDesk,en,1243890601768226816
